date,mobile_device_brand,mobile_device_os,credit_card_type,currency
2025-01-27,Meizu,"Android 9.0, Flyme 7.2",visa-electron,Balboa
2025-07-09,QMobile,Android 5.0,jcb,Zloty
2025-02-09,Allview,Android 4.0.4,china-unionpay,Tugrik
2025-05-05,Motorola,"Android 7.1.1, up to Android 9.0",jcb,Euro
2025-03-27,Samsung,Android 4.4.4,americanexpress,Dinar
2025-03-28,BLU,"Android 4.4.2, up to 5.0",jcb,Euro
2025-12-06,XOLO,"Android 4.4.2, up to 5.0",bankcard,Peso
2025-03-26,Asus,"Android 7, ZenUI 3",jcb,Koruna
2025-05-01,Samsung,Feature phone,jcb,Euro
2025-12-09,LG,"Android 4.1.2, up to 4.4.2, LG Optimus UI 3",jcb,Rupiah
2025-07-22,Sony,Feature phone,jcb,Rupiah
2025-04-06,Nokia,"Symbian OS 9.1, Series 60 UI",jcb,Peso
2025-01-26,Sagem,Feature phone,jcb,Real
2025-10-03,Allview,Android 8.1 Oreo,jcb,Rand
2025-09-15,Wiko,Android 6.0,visa-electron,Ruble
2025-04-18,Ulefone,Android 10,jcb,Yuan Renminbi
2025-05-27,ZTE,"Android 9.0, MiFavor 9.1",jcb,Pound
2025-12-02,Yezz,Android 8.1 Oreo,mastercard,Koruna
2025-10-14,vivo,"Android 7.1.2, Funtouch 3.2",switch,Rupiah
2025-02-03,Samsung,Android 2.2.2,bankcard,Yuan Renminbi
2025-12-03,BLU,Android 5.1,bankcard,Rupiah
2025-05-10,Lava,Android 8.1 Oreo,diners-club-enroute,Rupiah
2025-06-12,alcatel,Feature phone,mastercard,Rupiah
2025-11-09,Lava,Android 5.1,jcb,Kina
2025-12-02,LG,"Android 4.1.2, LG Optimus UI 3",jcb,Krona
2025-08-18,Motorola,Android 2.3,diners-club-enroute,Dirham
2025-12-08,Karbonn,Android 2.3,jcb,Euro
2026-01-21,Samsung,Tizen 2.4,china-unionpay,Peso
2025-04-01,ZTE,Android 4.0,instapayment,Peso
2025-10-13,Sharp,Android 6.0,americanexpress,Dong
2025-10-07,Samsung,Feature phone,maestro,Hryvnia
2025-11-28,Qtek,Microsoft Windows Mobile 5.0 Smartphone,jcb,Baht
2025-10-22,HTC,"Android 4.0.4, up to 4.1.2, Sense UI",bankcard,Yuan Renminbi
2025-11-08,Samsung,"Android 5.0, up to 6.0.1",jcb,Peso
2025-06-18,Oppo,Android 4.0.4,mastercard,Euro
2026-01-14,Sony,"Android 3.2, up to 4.0",diners-club-us-ca,Rupiah
2025-05-13,Pantech,Android 4.0,jcb,Yuan Renminbi
2025-11-17,BLU,Feature phone,jcb,Baht
2025-04-08,Motorola,Android 8.0,china-unionpay,Real
2025-12-28,Motorola,Linux / Java-based MOTOMAGX,visa-electron,Lev
2025-02-04,Motorola,"Android 9.0, up to Android 10",diners-club-carte-blanche,Yuan Renminbi
2026-01-07,Infinix,"Android 8.1, Android One",americanexpress,Yuan Renminbi
2025-05-21,Bird,Feature phone,jcb,Euro
2025-09-19,Meizu,"Android 7.1.2, Flyme 7",switch,Yuan Renminbi
2025-09-29,Nokia,"Android 7.0, up to Android 9.0",instapayment,Ruble
2025-07-26,Celkon,Feature phone,jcb,Peso
2025-08-17,BLU,Android 6.0,visa-electron,Dollar
2025-12-05,Apple,"iOS, up to iOS 4.2.1",americanexpress,Rupiah
2025-02-19,O2,Feature phone,jcb,Yuan Renminbi
2025-05-18,Samsung,Feature phone,jcb,Balboa
2025-07-08,Amoi,Feature phone,americanexpress,Rupiah
2025-11-13,ZTE,Android 4.2.1,mastercard,Peso
2025-08-05,vivo,"Android 9.0, up to Android 10, Funtouch 10",bankcard,Yuan Renminbi
2025-11-16,Nokia,"Symbian OS 9.3, S60 rel. 3.2",visa-electron,Peso
2025-10-19,Samsung,Feature phone,jcb,Yuan Renminbi
2025-07-13,vivo,"Android 8.1, Funtouch 4",jcb,Peso
2025-09-07,BenQ,Microsoft Windows PocketPC 2003 Phone edition,diners-club-carte-blanche,Yen
2025-07-21,Lava,Android 5.1,jcb,Yuan Renminbi
2025-10-03,Sony,Feature phone,mastercard,Shilling
2025-03-16,vivo,"Android 4.4.4, Funtouch 2",visa,Zloty
2025-09-26,Mitsubishi,Feature phone,jcb,Rand
2025-11-16,Samsung,Feature phone,maestro,Yuan Renminbi
2025-05-28,Lenovo,Android 4.0.4,jcb,Marka
2026-01-05,Yezz,Feature phone,mastercard,Yuan Renminbi
2025-07-25,Motorola,Android 2.3,diners-club-enroute,Hryvnia
2025-11-28,Samsung,"Android 4.4.2, TouchWiz UI",mastercard,Marka
2025-10-11,Qtek,Microsoft Windows Mobile 2003 Smartphone,diners-club-enroute,Euro
2025-08-24,NEC,Feature phone,diners-club-carte-blanche,Dollar
2025-08-05,verykool,Feature phone,china-unionpay,Peso
2025-09-13,alcatel,Feature phone,visa-electron,Baht
2025-11-13,Asus,"Android 4.4.2, up to 6.0",jcb,Rupiah
2025-07-08,LG,Feature phone,jcb,Kuna
2025-03-15,Karbonn,Feature phone,china-unionpay,Rupiah
2025-03-15,Infinix,"Android 10, XOS 6.0",jcb,Yuan Renminbi
2025-03-19,HTC,"Android 5, up to 6, Sense UI 7",jcb,Peso
2025-02-22,Nokia,Feature phone,china-unionpay,Yuan Renminbi
2025-02-21,Icemobile,Android 4.0,jcb,Yuan Renminbi
2025-05-22,Huawei,"Android 8.1 Oreo, EMUI 8",jcb,Euro
2025-03-16,LG,Feature phone,americanexpress,Yuan Renminbi
2025-08-01,Samsung,Feature phone,mastercard,Sol
2025-06-30,Micromax,Feature phone,jcb,Leone
2025-12-19,Sagem,Feature phone,visa-electron,Yuan Renminbi
2025-12-08,Samsung,"Android 10, One UI 2.5",jcb,Yuan Renminbi
2026-01-15,VK,Feature phone,americanexpress,Ringgit
2025-12-29,Intex,Android 5.0,jcb,Rupiah
2025-07-10,Philips,Feature phone,jcb,Euro
2025-11-10,Eten,Microsoft Windows Mobile 5.0 PocketPC,mastercard,Krona
2025-02-12,verykool,Feature phone,jcb,Rupiah
2025-07-26,Infinix,Android 8.0,jcb,Baht
2025-11-27,BLU,Android 5.1,americanexpress,Euro
2025-06-03,Yezz,Android 8.0 Oreo,diners-club-carte-blanche,Euro
2025-06-29,Huawei,"Android 9.0, EMUI 9.1",jcb,Rupiah
2025-05-28,Asus,"Android 9.0, up to Android 11, ZenUI",americanexpress,Dollar
2025-09-05,iNQ,Feature phone,diners-club-carte-blanche,Krona
2025-08-22,Samsung,Feature phone,mastercard,Euro
2025-05-07,Samsung,Android 2.3,americanexpress,Zloty
2025-06-02,Sony,Feature phone,jcb,Euro
2025-08-12,Motorola,Feature phone,jcb,Yuan Renminbi
2025-12-20,Lenovo,Android 4.2.2,jcb,Euro
2025-09-21,Samsung,"Android 3.2, TouchWiz UX UI",maestro,Yuan Renminbi
2025-04-21,LG,Android 2.3.7,americanexpress,Euro
2026-01-19,Coolpad,"Android 5.1, Cool UI 8",jcb,Peso
2025-07-29,Dell,"Android OS 1.6, up to 2.2",jcb,Franc
2025-03-07,Acer,"Android 4.2.2, up to 4.4.2",visa-electron,Euro
2025-09-27,Nokia,Feature phone,mastercard,Yuan Renminbi
2026-01-09,Spice,Feature phone,jcb,Peso
2025-06-01,Sony,Android 10,jcb,Yuan Renminbi
2026-01-07,Sagem,Feature phone,china-unionpay,Yuan Renminbi
2025-06-24,Motorola,Linux,instapayment,Real
2025-11-12,Huawei,Android 2.3.3,americanexpress,Baht
2025-10-17,HTC,"Android 5.1.1, Sense UI",jcb,Rupiah
2025-12-05,Samsung,Android 4.4.4,laser,Ruble
2025-08-26,Lenovo,Android 4.4.4,jcb,Yuan Renminbi
2025-07-27,Sony,"Android 9.0, up to Android 11",jcb,Krona
2025-09-30,Nokia,"Android 9.0, up to Android 11, Android One",maestro,Yuan Renminbi
2025-03-05,Gionee,"Android 6.0, Amigo 3.2",jcb,Yuan Renminbi
2025-08-10,Gigabyte,Feature phone,jcb,Dinar
2025-03-06,BLU,Android 7.0,jcb,Yuan Renminbi
2025-04-08,Samsung,"Android 9.0, up to Android 10, One UI 2.0",jcb,Euro
2025-06-27,Toshiba,Microsoft Windows Phone 7.5 Mango,jcb,Yuan Renminbi
2025-06-21,Samsung,Feature phone,maestro,Rupiah
2025-09-03,Samsung,"Android 8.0, up to Android 10, One UI 2.0",jcb,Rupiah
2026-01-16,Oppo,"Android 10, ColorOS 7.2",instapayment,Yuan Renminbi
2025-04-03,vivo,"Android 10, Funtouch 10",jcb,Ruble
2025-12-05,Sony,Feature phone,jcb,Peso
2025-02-20,Haier,Feature phone,china-unionpay,Peso
2026-01-03,Energizer,Android Go,jcb,Zloty
2025-03-07,Realme,"Android 10, Realme UI",laser,Euro
2025-02-07,Samsung,Android 2.3,jcb,Koruna
2025-11-12,HTC,Android 4.4.2,china-unionpay,Rupiah
2025-06-09,Micromax,Android 4.4.3,jcb,Dollar
2025-09-18,Lava,"Android 5.1.1, up to 6.0, Android One",jcb,Boliviano
2025-12-02,Sharp,Android 4.4.2,maestro,Peso
2025-08-11,Sagem,Feature phone,laser,Yuan Renminbi
2025-05-27,NEC,Feature phone,jcb,Tenge
2025-03-07,Wiko,Android 6.0,diners-club-carte-blanche,Euro
2025-08-30,Motorola,Linux,jcb,Yuan Renminbi
2025-02-15,Spice,Android 2.2,jcb,Euro
2025-02-19,Sony,Android 4.4.2,mastercard,Euro
2025-02-27,ZTE,Feature phone,laser,Euro
2025-08-01,Tel.Me.,Feature phone,jcb,Koruna
2025-05-19,Samsung,Feature phone,mastercard,Real
2025-02-07,Sharp,Feature phone,jcb,Lev
2026-01-16,Blackview,Android 7.0,jcb,Peso
2025-11-16,BLU,Android 5.1,visa,Dollar
2025-01-22,Samsung,"Android 10, up to Android 11, One UI 3.1",jcb,Dollar
2025-05-28,Panasonic,Android 4.4.2,china-unionpay,Ruble
2025-03-21,Telit,Feature phone,maestro,Sol
2025-03-20,Samsung,"Android 5.0.2, up to 5.1, TouchWiz UI",instapayment,Euro
2025-03-21,Ulefone,Android 9.0,visa,Yen
2025-09-09,Lenovo,Android 4.4.2,jcb,Yen
2025-04-05,ZTE,"Android 10, MiFavor 10",americanexpress,Sol
2025-03-20,Oppo,"Android 4.4.4, ColorOS 2",mastercard,Yuan Renminbi
2026-01-19,Acer,Android 5.0,jcb,Yuan Renminbi
2025-05-31,Celkon,Android 4.4.2,diners-club-enroute,Ruble
2025-12-13,Wiko,Android 5.0,jcb,Dong
2025-06-27,Motorola,Android 1.6,jcb,Franc
2025-02-21,Ericsson,Feature phone,jcb,Yuan Renminbi
2025-02-22,LG,Android 2.3.6,maestro,Sol
2025-03-23,Samsung,"Android 2.2, up to 2.3, TouchWiz UI",jcb,Sol
2025-04-08,Nokia,"Android 9.0, up to Android 11, Android One",jcb,Sol
2025-05-22,Wiko,Android 5.1,jcb,Yuan Renminbi
2025-11-06,Samsung,"Android 3.0, TouchWiz UX UI",visa-electron,Rupee
2026-01-20,ZTE,Android 5.1.1,jcb,Shekel
2025-11-16,Acer,Android 4.4.2,jcb,Peso
2025-05-06,Huawei,Android 4.2,diners-club-carte-blanche,Yuan Renminbi
2025-11-06,Samsung,"Android 9.0, One UI",jcb,Real
2025-08-23,ZTE,Android 5.0,maestro,Ruble
2025-06-06,Oppo,"Android 5.1, ColorOS 3",diners-club-enroute,Som
2026-01-18,Nokia,"Android 8.1, up to Android 10, Android One",jcb,Yuan Renminbi
2025-04-22,Samsung,Feature phone,jcb,Rial
2025-06-20,Xiaomi,"Android 10, MIUI 12",mastercard,Yuan Renminbi
2025-07-31,Huawei,Android 2.2,jcb,Rupiah
2025-10-10,Lenovo,Android 4.2.2,jcb,Peso
2025-08-23,Gionee,"Android 5, Amigo OS 3",jcb,Real
2025-11-19,Allview,Microsoft Windows Phone 8.1,mastercard,Yuan Renminbi
2025-07-02,Asus,Android 5.1.1,americanexpress,Koruna
2025-07-20,LG,Feature phone,americanexpress,Euro
2025-11-19,Lenovo,Android 4.4.2,jcb,Peso
2025-06-06,LG,Feature phone,jcb,Real
2025-04-02,Motorola,Android 4.0.4,visa-electron,Peso
2025-09-26,LG,Feature phone,visa-electron,Real
2025-06-26,Samsung,Android 5.1.1,maestro,Rupiah
2025-09-28,Asus,Microsoft Windows Mobile 6.0 Professional,jcb,Zloty
2025-10-24,Motorola,"Symbian 7.0, UIQ 2.0",jcb,Yuan Renminbi
2025-08-26,BQ,Android 7.1.1,jcb,Rupiah
2025-08-13,Oppo,Android 4.0.4,mastercard,Euro
2025-09-14,vivo,"Android 9.0, Funtouch 9.1",jcb,Ruble
2025-07-06,NIU,Feature phone,mastercard,Rupiah
2025-11-06,Philips,Android 5.1,laser,Koruna
2026-01-01,Eten,Microsoft Windows Mobile 5.0 PocketPC,instapayment,Euro
2026-01-14,Huawei,Android 4.0,jcb,Dollar
2025-11-19,Samsung,"Android 2.3, TouchWiz UX UI",jcb,Krona
2025-05-09,Lenovo,"Android 4.4, up to 5.0",visa-electron,Taka
2025-03-29,Sagem,Feature phone,bankcard,Yuan Renminbi
2025-08-11,Vodafone,Android 4.2.2,jcb,Zloty
2025-06-06,alcatel,Firefox OS 1.3,mastercard,Euro
2025-03-21,Parla,Feature phone,switch,Ruble
2025-05-10,Qtek,Microsoft Windows Mobile 2003 SE PocketPC,diners-club-us-ca,Euro
2025-10-15,Nokia,"Symbian 9.4, Series 60 rel. 5",americanexpress,Rupiah
2025-03-13,Nokia,"Android 9.0, up to Android 11, Android One",visa-electron,Ruble
2025-06-09,verykool,Feature phone,jcb,Baht
2025-12-07,T-Mobile,Feature phone,china-unionpay,Dollar
2025-11-06,ZTE,Android 4.1,china-unionpay,Peso
2025-06-12,Motorola,Android 4.4.2,switch,Rupiah
2025-11-02,ZTE,Android 4.1.2,diners-club-carte-blanche,Euro
2025-05-13,Sony,"Symbian, UIQ",bankcard,Real
2025-04-10,alcatel,Feature phone,maestro,Rupiah
2025-09-19,Motorola,"Android 4.0.4, up to 4.4.2",jcb,Yuan Renminbi
2025-10-14,Asus,Microsoft Windows Mobile 5.0 PocketPC,jcb,Yuan Renminbi
2025-12-12,Samsung,Feature phone,switch,Yuan Renminbi
2025-02-01,Plum,Feature phone,jcb,Dram
2025-07-30,Samsung,"Android 8.0, up to Android 9.0",jcb,Hryvnia
2025-03-09,Samsung,Feature phone,jcb,Euro
2025-10-26,alcatel,Feature phone,diners-club-enroute,Yuan Renminbi
2025-11-26,Oppo,Android 4.0.4,switch,Krona
2025-03-19,BLU,Android 4.2,switch,Sol
2025-07-15,Samsung,Feature phone,jcb,Dirham
2025-11-26,Nokia,Feature phone,jcb,Hryvnia
2025-12-04,LG,Feature phone,switch,Koruna
2025-12-22,Samsung,Feature phone,switch,Rupiah
2025-11-03,Lenovo,Android 5.0,jcb,Riels
2025-10-24,Huawei,"Android 4.1, EMUI 1.5",mastercard,Rupiah
2025-10-22,Spice,Android 2.2,diners-club-enroute,Zloty
2025-09-27,Motorola,Feature phone,visa-electron,Ringgit
2025-12-10,Plum,Feature phone,americanexpress,Real
2025-09-10,Xiaomi,Android 10,jcb,Peso
2025-09-28,Honor,"Android 10, Magic UI 3.1",jcb,Dong
2025-12-21,Prestigio,Android 4.1,jcb,Real
2025-05-25,Samsung,Feature phone,switch,Manat
2025-02-12,Micromax,Feature phone,jcb,Rupiah
2025-11-22,Acer,Android 4.2,diners-club-enroute,Yuan Renminbi
2025-12-05,Plum,Feature phone,jcb,Peso
2025-05-03,Samsung,Android 6.0.1,switch,Yuan Renminbi
2025-03-22,Motorola,Feature phone,americanexpress,Euro
2025-02-07,LG,Feature phone,maestro,Koruna
2025-11-25,Pantech,"Android 2.3.5, up to 4.0",mastercard,Dinar
2025-04-19,Lava,Android 5.1,mastercard,Yuan Renminbi
2025-09-01,Micromax,Android 2.3,visa-electron,Real
2025-05-21,HTC,Microsoft Windows Phone 8,jcb,Bolivar
2025-03-09,Allview,Android 5.1,switch,Zloty
2025-05-29,Xiaomi,"Android 8.1, planned upgrade to 10, MIUI 12",jcb,Euro
2025-11-09,Amoi,Feature phone,solo,Dirham
2025-01-30,Huawei,"Android 4.4.2, EMUI 2.3",jcb,Hryvnia
2025-10-29,Nokia,Feature phone,visa,Yuan Renminbi
2025-09-23,Oppo,"Android 9.0, up to Android 11, ColorOS 11",mastercard,Kuna
2025-06-29,Motorola,Feature phone,switch,Yuan Renminbi
2025-05-09,Samsung,"Android 4.3, up to 4.4.2, up to 5.0",china-unionpay,Euro
2025-05-10,alcatel,Android 4.2,maestro,Ruble
2025-09-07,Asus,Android 4.4,jcb,Tenge
2025-02-25,HTC,"Android 2.3, up to 4.0, Sense UI 3",switch,Euro
2025-09-07,LG,Feature phone,maestro,Real
2025-03-21,Nokia,Feature phone,jcb,Yuan Renminbi
2025-12-19,Panasonic,Feature phone,china-unionpay,Lek
2025-06-19,Samsung,Android 7.0,americanexpress,Peso
2025-08-30,Motorola,Linux / Java-based MOTOMAGX,instapayment,Rupiah
2025-04-06,HP,Android 4.2.2,maestro,Dollar
2025-10-17,Allview,Android 7.0,jcb,Franc
2025-04-16,ZTE,Android 6.0,jcb,Kuna
2025-05-23,QMobile,Feature phone,jcb,Euro
2025-10-25,Motorola,Android 10,jcb,Dong
2025-06-26,Energizer,KaiOS,jcb,Krona
2025-06-22,alcatel,Firefox OS 1.0,laser,Peso
2025-02-01,Sony,"Android 4.3, up to 5.1",switch,Ruble
2025-02-05,HP,Android 4.4.2,instapayment,Euro
2025-11-04,Haier,Feature phone,mastercard,Rupiah
2025-03-10,Modu,Feature phone,jcb,Yuan Renminbi
2025-09-15,Oppo,"Android 11, ColorOS 11.2",jcb,Peso
2025-04-11,Micromax,Feature phone,bankcard,Cordoba
2025-08-05,T-Mobile,Android 2.3.4,diners-club-enroute,Peso
2025-11-14,Samsung,Palm 5.2,diners-club-enroute,Ruble
2025-07-17,Meizu,"Android 5.1, Flyme UI",china-unionpay,Peso
2025-10-30,Huawei,"Android 8.0, EMUI 8",switch,Zloty
2025-09-08,Sendo,Feature phone,diners-club-carte-blanche,Yuan Renminbi
2025-07-30,Motorola,Linux,maestro,Peso
2025-08-06,LG,Android 9.0,mastercard,Euro
2025-06-03,Bosch,Feature phone,diners-club-enroute,Sol
2025-04-27,Realme,"Android 10, Realme UI",mastercard,Yuan Renminbi
2025-11-25,Allview,Android 4.2.2,visa,Ruble
2026-01-17,Nokia,Feature phone,jcb,Peso
2025-04-21,Allview,Android 4.4.2,switch,Rupiah
2026-01-13,YU,Android 7.0,diners-club-carte-blanche,Pound
2026-01-05,Infinix,Android 6.0,jcb,Euro
2026-01-01,Emporia,Feature phone,jcb,Rupiah
2025-08-04,Micromax,Android 5.1,jcb,Yuan Renminbi
2025-04-11,Samsung,Feature phone,americanexpress,Yen
2025-11-22,Lenovo,"Android 5.0.2, up to 6.0",visa-electron,Peso
2025-12-15,Samsung,"Android 3.0, up to 4.0, TouchWiz UX UI",china-unionpay,Peso
2025-05-07,Huawei,Android 4.1,jcb,Yuan Renminbi
2025-11-06,ZTE,Android 4.0,switch,Baht
2025-12-26,Lenovo,Android 4.2.2,laser,Rupiah
2026-01-07,Ulefone,Android 10,jcb,Euro
2025-01-29,BenQ,Feature phone,bankcard,Balboa
2025-10-06,BenQ,Feature phone,jcb,Dollar
2025-06-11,alcatel,Android 7.1,jcb,Rupiah
2025-07-20,Oppo,"Android 7.1.1, ColorOS 3.2",china-unionpay,Ruble
2025-02-23,alcatel,Feature phone,jcb,Rupiah
2025-12-17,HTC,"Android 4.4.2, Sense UI 6",diners-club-us-ca,Peso
2025-09-30,Samsung,Feature phone,jcb,Ruble
2025-09-05,Gionee,"Android 5.1, Amigo 3.1",mastercard,Real
2025-02-07,Posh,Android 4.2.2,diners-club-enroute,Dollar
2026-01-14,XOLO,"Android 4.3, up to 4.4.2",mastercard,Euro
2025-03-02,Motorola,Feature phone,mastercard,Yen
2025-03-02,i-mate,Microsoft Windows Mobile 2003 SE PocketPC,visa-electron,Euro
2025-03-01,Motorola,"Android 2.1, up to 2.2",jcb,Dollar
2025-10-07,Amoi,Feature phone,mastercard,Baht
2025-02-09,BLU,Android 9.0,maestro,Som
2025-03-16,QMobile,"Android 6.0, Amigo 3.1",jcb,Peso
2025-04-11,Nokia,Microsoft Windows Phone 7,jcb,Real
2025-02-08,Oppo,Android 4.2.1,visa-electron,Won
2025-08-04,Nokia,Feature phone,jcb,Won
2025-11-17,vivo,"Android 9.0, Funtouch 9.2",maestro,Yuan Renminbi
2025-03-24,Yezz,Android 4.4.2,jcb,Yuan Renminbi
2025-03-25,Realme,"Android 10, Realme UI",mastercard,Koruna
2025-03-15,LG,Feature phone,maestro,Peso
2025-09-12,alcatel,Feature phone,jcb,Won
2026-01-12,Samsung,"Android 4.3, up to 4.4.2",jcb,Rupiah
2025-02-20,Lenovo,Android 4.4.2,maestro,Dollar
2025-07-12,NEC,Feature phone,jcb,Ruble
2025-06-24,Samsung,"Android 4.4, TouchWiz UI",switch,Won
2025-03-29,Samsung,"Android 5.1, up to 7.1.1",jcb,Dollar
2025-03-22,Haier,Feature phone,diners-club-enroute,Dollar
2025-12-25,BLU,Android 9.0,mastercard,Denar
2025-06-25,Innostream,Feature phone,americanexpress,Krona
2025-06-28,Asus,"Android 4.3, up to 4.4.2",maestro,Ruble
2025-05-26,LeEco,"Android 6.0, eUI 5.6",diners-club-enroute,Ringgit
2025-12-01,Lava,Android 4.2,americanexpress,Rupiah
2025-12-07,LG,Feature phone,instapayment,Rial
2025-12-08,HTC,Microsoft Windows Mobile 5.0 Smartphone,mastercard,Quetzal
2025-12-30,BQ,"Android 7.1.2, up to Android 8.0",maestro,Yuan Renminbi
2025-10-01,Samsung,Feature phone,visa,Euro
2025-07-13,Xiaomi,"Android 10, MIUI 11",bankcard,Euro
2025-08-02,ZTE,Android 6.0,visa-electron,Zloty
2025-10-21,alcatel,Feature phone,jcb,Yuan Renminbi
2025-06-04,BLU,Android 5.1,americanexpress,Peso
2025-03-29,Plum,Android 4.1.2,china-unionpay,Peso
2025-03-18,Samsung,Feature phone,jcb,Rupiah
2025-06-23,Samsung,Tizen OS 4.0,mastercard,Rupiah
2025-04-14,LG,Proprietary OS,americanexpress,Yuan Renminbi
2025-02-28,BenQ-Siemens,Feature phone,jcb,Rupiah
2025-04-03,Gigabyte,Microsoft Windows Mobile 5.0 for &hellip;,diners-club-enroute,Yuan Renminbi
2025-05-25,Sony,"Android 9.0, up to Android 10",jcb,Ruble
2025-04-15,Palm,Microsoft Windows Mobile 6.0 Standard Edition,diners-club-enroute,Shilling
2025-10-26,alcatel,Feature phone,jcb,Euro
2025-03-23,Motorola,Feature phone,maestro,Rupee
2025-08-04,ZTE,"Android 5.2, nubia UI 3",americanexpress,Real
2025-08-31,Acer,Android 5.0,jcb,Riels
2025-05-23,LG,Feature phone,mastercard,Rupiah
2025-11-05,BenQ-Siemens,Feature phone,jcb,Dollar
2025-10-11,BenQ,Feature phone,maestro,Koruna
2025-03-24,Samsung,Proprietary OS,jcb,Yuan Renminbi
2025-02-05,LG,Feature phone,mastercard,Euro
2025-02-23,Toshiba,Microsoft Windows Phone 7.5 Mango,diners-club-us-ca,Yuan Renminbi
2025-05-02,LG,Feature phone,americanexpress,Real
2025-08-08,Sony,Feature phone,jcb,Dinar
2025-03-03,Bird,Feature phone,jcb,Peso
2025-02-21,Samsung,Feature phone,jcb,Yen
2025-02-16,Sony,"Symbian 7.0, UIQ v2.0 UI",switch,Peso
2025-08-07,Micromax,"Android 5.1, Android One",diners-club-us-ca,Yuan Renminbi
2025-09-14,Nokia,Feature phone,diners-club-us-ca,Dollar
2025-03-08,Nokia,Feature phone,jcb,Pound
2025-02-13,vivo,"Android 9.0, Funtouch 9.0",maestro,Euro
2025-09-12,Realme,"Android 10, Realme UI",jcb,Baht
2025-07-12,LG,Feature phone,jcb,Euro
2025-05-27,LG,Feature phone,maestro,Dollar
2026-01-02,T-Mobile,Android 1.6,china-unionpay,Real
2025-12-02,alcatel,Android 4.2,jcb,Pound
2025-04-11,Philips,Feature phone,visa-electron,Peso
2025-07-30,Gigabyte,Android 4.4,jcb,Rupiah
