date,brand,os,credit_card_type,currency,review_number,price,paid
2025-03-26,Asus,"Android 7, ZenUI 3",jcb,Koruna,64,708,0.0
2025-05-01,Samsung,Feature phone,jcb,Euro,49,241,0.0
2025-12-09,LG,"Android 4.1.2, up to 4.4.2, LG Optimus UI 3",jcb,Rupiah,132,728,0.0
2025-07-22,Sony,Feature phone,jcb,Rupiah,116,575,0.0
2025-04-06,Nokia,"Symbian OS 9.1, Series 60 UI",jcb,Peso,108,616,0.0
2025-01-26,Sagem,Feature phone,jcb,Real,138,567,0.0
2025-10-03,Allview,Android 8.1 Oreo,jcb,Rand,116,671,1.0
2025-09-15,Wiko,Android 6.0,visa-electron,Ruble,30,505,1.0
2025-04-18,Ulefone,Android 10,jcb,Yuan Renminbi,176,237,1.0
2025-05-27,ZTE,"Android 9.0, MiFavor 9.1",jcb,Pound,3,416,1.0
2025-12-02,Yezz,Android 8.1 Oreo,mastercard,Koruna,33,701,0.0
2025-10-14,vivo,"Android 7.1.2, Funtouch 3.2",switch,Rupiah,205,522,0.0
2025-02-03,Samsung,Android 2.2.2,bankcard,Yuan Renminbi,197,741,0.0
2025-12-03,BLU,Android 5.1,bankcard,Rupiah,36,821,0.0
2025-05-10,Lava,Android 8.1 Oreo,diners-club-enroute,Rupiah,93,242,0.0
2025-06-12,alcatel,Feature phone,mastercard,Rupiah,15,316,1.0
2025-11-09,Lava,Android 5.1,jcb,Kina,74,472,0.0
2025-12-02,LG,"Android 4.1.2, LG Optimus UI 3",jcb,Krona,156,402,0.0
2025-08-18,Motorola,Android 2.3,diners-club-enroute,Dirham,126,611,0.0
2025-12-08,Karbonn,Android 2.3,jcb,Euro,42,898,0.0
2026-01-21,Samsung,Tizen 2.4,china-unionpay,Peso,139,434,1.0
2025-04-01,ZTE,Android 4.0,instapayment,Peso,225,323,0.0
2025-10-13,Sharp,Android 6.0,americanexpress,Dong,7,293,1.0
2025-10-07,Samsung,Feature phone,maestro,Hryvnia,149,681,0.0
2025-11-28,Qtek,Microsoft Windows Mobile 5.0 Smartphone,jcb,Baht,100,891,0.0
2025-10-22,HTC,"Android 4.0.4, up to 4.1.2, Sense UI",bankcard,Yuan Renminbi,238,612,0.0
2025-11-08,Samsung,"Android 5.0, up to 6.0.1",jcb,Peso,171,352,1.0
2025-06-18,Oppo,Android 4.0.4,mastercard,Euro,29,671,0.0
2026-01-14,Sony,"Android 3.2, up to 4.0",diners-club-us-ca,Rupiah,68,750,1.0
2025-05-13,Pantech,Android 4.0,jcb,Yuan Renminbi,106,435,0.0
2025-11-17,BLU,Feature phone,jcb,Baht,31,655,0.0
2025-04-08,Motorola,Android 8.0,china-unionpay,Real,55,214,0.0
2025-12-28,Motorola,Linux / Java-based MOTOMAGX,visa-electron,Lev,236,558,0.0
2025-02-04,Motorola,"Android 9.0, up to Android 10",diners-club-carte-blanche,Yuan Renminbi,76,567,0.0
2026-01-07,Infinix,"Android 8.1, Android One",americanexpress,Yuan Renminbi,163,631,1.0
2025-05-21,Bird,Feature phone,jcb,Euro,57,771,0.0
2025-09-19,Meizu,"Android 7.1.2, Flyme 7",switch,Yuan Renminbi,34,204,0.0
2025-09-29,Nokia,"Android 7.0, up to Android 9.0",instapayment,Ruble,125,502,0.0
2025-07-26,Celkon,Feature phone,jcb,Peso,1,216,0.0
2025-08-17,BLU,Android 6.0,visa-electron,Dollar,60,691,0.0
2025-12-05,Apple,"iOS, up to iOS 4.2.1",americanexpress,Rupiah,123,263,0.0
2025-02-19,O2,Feature phone,jcb,Yuan Renminbi,135,771,0.0
2025-05-18,Samsung,Feature phone,jcb,Balboa,52,366,0.0
2025-07-08,Amoi,Feature phone,americanexpress,Rupiah,7,852,1.0
2025-11-13,ZTE,Android 4.2.1,mastercard,Peso,209,302,1.0
2025-08-05,vivo,"Android 9.0, up to Android 10, Funtouch 10",bankcard,Yuan Renminbi,174,250,0.0
2025-11-16,Nokia,"Symbian OS 9.3, S60 rel. 3.2",visa-electron,Peso,71,576,1.0
2025-10-19,Samsung,Feature phone,jcb,Yuan Renminbi,179,476,1.0
2025-07-13,vivo,"Android 8.1, Funtouch 4",jcb,Peso,104,396,1.0
2025-09-07,BenQ,Microsoft Windows PocketPC 2003 Phone edition,diners-club-carte-blanche,Yen,146,203,1.0
2025-07-21,Lava,Android 5.1,jcb,Yuan Renminbi,48,878,0.0
2025-10-03,Sony,Feature phone,mastercard,Shilling,124,807,0.0
2025-03-16,vivo,"Android 4.4.4, Funtouch 2",visa,Zloty,221,496,0.0
2025-09-26,Mitsubishi,Feature phone,jcb,Rand,19,453,1.0
2025-11-16,Samsung,Feature phone,maestro,Yuan Renminbi,205,512,0.0
2025-05-28,Lenovo,Android 4.0.4,jcb,Marka,250,829,0.0
2026-01-05,Yezz,Feature phone,mastercard,Yuan Renminbi,11,716,0.0
2025-07-25,Motorola,Android 2.3,diners-club-enroute,Hryvnia,197,361,0.0
2025-11-28,Samsung,"Android 4.4.2, TouchWiz UI",mastercard,Marka,216,200,1.0
2025-10-11,Qtek,Microsoft Windows Mobile 2003 Smartphone,diners-club-enroute,Euro,211,491,1.0
2025-08-24,NEC,Feature phone,diners-club-carte-blanche,Dollar,210,268,0.0
2025-08-05,verykool,Feature phone,china-unionpay,Peso,170,835,1.0
2025-09-13,alcatel,Feature phone,visa-electron,Baht,17,870,0.0
2025-11-13,Asus,"Android 4.4.2, up to 6.0",jcb,Rupiah,220,605,0.0
2025-07-08,LG,Feature phone,jcb,Kuna,49,248,0.0
2025-03-15,Karbonn,Feature phone,china-unionpay,Rupiah,150,558,0.0
2025-03-15,Infinix,"Android 10, XOS 6.0",jcb,Yuan Renminbi,235,613,1.0
2025-03-19,HTC,"Android 5, up to 6, Sense UI 7",jcb,Peso,111,410,1.0
2025-02-22,Nokia,Feature phone,china-unionpay,Yuan Renminbi,40,632,0.0
2025-02-21,Icemobile,Android 4.0,jcb,Yuan Renminbi,236,819,0.0
2025-05-22,Huawei,"Android 8.1 Oreo, EMUI 8",jcb,Euro,46,748,1.0
2025-03-16,LG,Feature phone,americanexpress,Yuan Renminbi,241,349,0.0
2025-08-01,Samsung,Feature phone,mastercard,Sol,29,781,0.0
2025-06-30,Micromax,Feature phone,jcb,Leone,21,553,0.0
2025-12-19,Sagem,Feature phone,visa-electron,Yuan Renminbi,157,604,0.0
2025-12-08,Samsung,"Android 10, One UI 2.5",jcb,Yuan Renminbi,23,694,0.0
2026-01-15,VK,Feature phone,americanexpress,Ringgit,77,627,0.0
2025-12-29,Intex,Android 5.0,jcb,Rupiah,239,482,0.0
2025-07-10,Philips,Feature phone,jcb,Euro,87,873,0.0
2025-11-10,Eten,Microsoft Windows Mobile 5.0 PocketPC,mastercard,Krona,180,769,1.0
2025-02-12,verykool,Feature phone,jcb,Rupiah,215,808,0.0
2025-07-26,Infinix,Android 8.0,jcb,Baht,198,233,1.0
2025-11-27,BLU,Android 5.1,americanexpress,Euro,196,648,0.0
2025-06-03,Yezz,Android 8.0 Oreo,diners-club-carte-blanche,Euro,23,673,0.0
2025-06-29,Huawei,"Android 9.0, EMUI 9.1",jcb,Rupiah,182,402,1.0
2025-05-28,Asus,"Android 9.0, up to Android 11, ZenUI",americanexpress,Dollar,96,262,0.0
2025-09-05,iNQ,Feature phone,diners-club-carte-blanche,Krona,241,880,0.0
2025-08-22,Samsung,Feature phone,mastercard,Euro,221,211,0.0
2025-05-07,Samsung,Android 2.3,americanexpress,Zloty,217,311,0.0
2025-06-02,Sony,Feature phone,jcb,Euro,195,629,1.0
2025-08-12,Motorola,Feature phone,jcb,Yuan Renminbi,31,302,1.0
2025-12-20,Lenovo,Android 4.2.2,jcb,Euro,7,290,0.0
2025-09-21,Samsung,"Android 3.2, TouchWiz UX UI",maestro,Yuan Renminbi,90,527,0.0
2025-04-21,LG,Android 2.3.7,americanexpress,Euro,193,694,1.0
2026-01-19,Coolpad,"Android 5.1, Cool UI 8",jcb,Peso,49,520,0.0
2025-07-29,Dell,"Android OS 1.6, up to 2.2",jcb,Franc,209,787,0.0
2025-03-07,Acer,"Android 4.2.2, up to 4.4.2",visa-electron,Euro,80,364,0.0
2025-09-27,Nokia,Feature phone,mastercard,Yuan Renminbi,158,763,0.0
2026-01-09,Spice,Feature phone,jcb,Peso,2,434,1.0
2025-06-01,Sony,Android 10,jcb,Yuan Renminbi,175,814,0.0
2026-01-07,Sagem,Feature phone,china-unionpay,Yuan Renminbi,2,896,0.0
2025-06-24,Motorola,Linux,instapayment,Real,114,436,0.0
2025-11-12,Huawei,Android 2.3.3,americanexpress,Baht,193,788,1.0
2025-10-17,HTC,"Android 5.1.1, Sense UI",jcb,Rupiah,18,429,0.0
2025-12-05,Samsung,Android 4.4.4,laser,Ruble,114,696,1.0
2025-08-26,Lenovo,Android 4.4.4,jcb,Yuan Renminbi,204,864,1.0
2025-07-27,Sony,"Android 9.0, up to Android 11",jcb,Krona,15,246,1.0
2025-09-30,Nokia,"Android 9.0, up to Android 11, Android One",maestro,Yuan Renminbi,208,540,1.0
2025-03-05,Gionee,"Android 6.0, Amigo 3.2",jcb,Yuan Renminbi,239,221,0.0
2025-08-10,Gigabyte,Feature phone,jcb,Dinar,79,505,0.0
2025-03-06,BLU,Android 7.0,jcb,Yuan Renminbi,190,346,0.0
2025-04-08,Samsung,"Android 9.0, up to Android 10, One UI 2.0",jcb,Euro,65,531,1.0
2025-06-27,Toshiba,Microsoft Windows Phone 7.5 Mango,jcb,Yuan Renminbi,71,508,0.0
2025-06-21,Samsung,Feature phone,maestro,Rupiah,106,271,1.0
2025-09-03,Samsung,"Android 8.0, up to Android 10, One UI 2.0",jcb,Rupiah,105,223,1.0
2026-01-16,Oppo,"Android 10, ColorOS 7.2",instapayment,Yuan Renminbi,68,393,1.0
2025-04-03,vivo,"Android 10, Funtouch 10",jcb,Ruble,78,648,0.0
2025-12-05,Sony,Feature phone,jcb,Peso,9,287,1.0
2025-02-20,Haier,Feature phone,china-unionpay,Peso,79,671,0.0
2026-01-03,Energizer,Android Go,jcb,Zloty,90,617,0.0
2025-03-07,Realme,"Android 10, Realme UI",laser,Euro,173,353,0.0
2025-02-07,Samsung,Android 2.3,jcb,Koruna,214,582,0.0
2025-11-12,HTC,Android 4.4.2,china-unionpay,Rupiah,37,644,1.0
2025-06-09,Micromax,Android 4.4.3,jcb,Dollar,82,817,1.0
2025-09-18,Lava,"Android 5.1.1, up to 6.0, Android One",jcb,Boliviano,23,264,0.0
2025-12-02,Sharp,Android 4.4.2,maestro,Peso,65,377,1.0
2025-08-11,Sagem,Feature phone,laser,Yuan Renminbi,82,393,1.0
2025-05-27,NEC,Feature phone,jcb,Tenge,116,569,0.0
2025-03-07,Wiko,Android 6.0,diners-club-carte-blanche,Euro,56,753,0.0
2025-08-30,Motorola,Linux,jcb,Yuan Renminbi,72,765,1.0
2025-02-15,Spice,Android 2.2,jcb,Euro,238,331,0.0
2025-02-19,Sony,Android 4.4.2,mastercard,Euro,42,541,1.0
2025-02-27,ZTE,Feature phone,laser,Euro,15,242,0.0
2025-08-01,Tel.Me.,Feature phone,jcb,Koruna,36,621,1.0
2025-05-19,Samsung,Feature phone,mastercard,Real,238,561,0.0
2025-02-07,Sharp,Feature phone,jcb,Lev,3,468,0.0
2026-01-16,Blackview,Android 7.0,jcb,Peso,223,498,0.0
2025-11-16,BLU,Android 5.1,visa,Dollar,34,361,0.0
2025-01-22,Samsung,"Android 10, up to Android 11, One UI 3.1",jcb,Dollar,160,510,0.0
2025-05-28,Panasonic,Android 4.4.2,china-unionpay,Ruble,243,741,1.0
2025-03-21,Telit,Feature phone,maestro,Sol,44,717,0.0
2025-03-20,Samsung,"Android 5.0.2, up to 5.1, TouchWiz UI",instapayment,Euro,149,559,0.0
2025-03-21,Ulefone,Android 9.0,visa,Yen,220,793,0.0
2025-09-09,Lenovo,Android 4.4.2,jcb,Yen,143,391,1.0
2025-04-05,ZTE,"Android 10, MiFavor 10",americanexpress,Sol,174,298,0.0
2025-03-20,Oppo,"Android 4.4.4, ColorOS 2",mastercard,Yuan Renminbi,227,201,0.0
2026-01-19,Acer,Android 5.0,jcb,Yuan Renminbi,127,569,0.0
2025-05-31,Celkon,Android 4.4.2,diners-club-enroute,Ruble,212,324,0.0
2025-12-13,Wiko,Android 5.0,jcb,Dong,36,249,0.0
2025-06-27,Motorola,Android 1.6,jcb,Franc,53,296,0.0
2025-02-21,Ericsson,Feature phone,jcb,Yuan Renminbi,9,653,0.0
2025-02-22,LG,Android 2.3.6,maestro,Sol,112,813,1.0
2025-03-23,Samsung,"Android 2.2, up to 2.3, TouchWiz UI",jcb,Sol,200,606,1.0
2025-04-08,Nokia,"Android 9.0, up to Android 11, Android One",jcb,Sol,205,449,0.0
2025-05-22,Wiko,Android 5.1,jcb,Yuan Renminbi,131,666,0.0
2025-11-06,Samsung,"Android 3.0, TouchWiz UX UI",visa-electron,Rupee,142,363,0.0
2026-01-20,ZTE,Android 5.1.1,jcb,Shekel,112,749,1.0
2025-11-16,Acer,Android 4.4.2,jcb,Peso,217,691,1.0
2025-05-06,Huawei,Android 4.2,diners-club-carte-blanche,Yuan Renminbi,220,529,1.0
2025-11-06,Samsung,"Android 9.0, One UI",jcb,Real,75,757,0.0
2025-08-23,ZTE,Android 5.0,maestro,Ruble,147,816,1.0
2025-06-06,Oppo,"Android 5.1, ColorOS 3",diners-club-enroute,Som,149,788,0.0
2026-01-18,Nokia,"Android 8.1, up to Android 10, Android One",jcb,Yuan Renminbi,180,619,1.0
2025-04-22,Samsung,Feature phone,jcb,Rial,182,287,1.0
2025-06-20,Xiaomi,"Android 10, MIUI 12",mastercard,Yuan Renminbi,172,376,0.0
2025-07-31,Huawei,Android 2.2,jcb,Rupiah,16,839,0.0
2025-10-10,Lenovo,Android 4.2.2,jcb,Peso,114,591,1.0
2025-08-23,Gionee,"Android 5, Amigo OS 3",jcb,Real,53,852,0.0
2025-11-19,Allview,Microsoft Windows Phone 8.1,mastercard,Yuan Renminbi,37,244,0.0
2025-07-02,Asus,Android 5.1.1,americanexpress,Koruna,118,801,0.0
2025-07-20,LG,Feature phone,americanexpress,Euro,87,767,0.0
2025-11-19,Lenovo,Android 4.4.2,jcb,Peso,225,217,0.0
2025-06-06,LG,Feature phone,jcb,Real,127,290,0.0
2025-04-02,Motorola,Android 4.0.4,visa-electron,Peso,13,475,1.0
2025-09-26,LG,Feature phone,visa-electron,Real,119,593,0.0
2025-06-26,Samsung,Android 5.1.1,maestro,Rupiah,15,485,0.0
2025-09-28,Asus,Microsoft Windows Mobile 6.0 Professional,jcb,Zloty,125,434,0.0
2025-10-24,Motorola,"Symbian 7.0, UIQ 2.0",jcb,Yuan Renminbi,124,306,0.0
2025-08-26,BQ,Android 7.1.1,jcb,Rupiah,177,853,0.0
2025-08-13,Oppo,Android 4.0.4,mastercard,Euro,45,476,0.0
2025-09-14,vivo,"Android 9.0, Funtouch 9.1",jcb,Ruble,141,689,0.0
2025-07-06,NIU,Feature phone,mastercard,Rupiah,73,589,1.0
2025-11-06,Philips,Android 5.1,laser,Koruna,114,205,0.0
2026-01-01,Eten,Microsoft Windows Mobile 5.0 PocketPC,instapayment,Euro,46,475,1.0
2026-01-14,Huawei,Android 4.0,jcb,Dollar,221,475,0.0
2025-11-19,Samsung,"Android 2.3, TouchWiz UX UI",jcb,Krona,8,284,0.0
2025-05-09,Lenovo,"Android 4.4, up to 5.0",visa-electron,Taka,197,831,1.0
2025-03-29,Sagem,Feature phone,bankcard,Yuan Renminbi,196,588,1.0
2025-08-11,Vodafone,Android 4.2.2,jcb,Zloty,194,737,0.0
2025-06-06,alcatel,Firefox OS 1.3,mastercard,Euro,22,541,0.0
2025-03-21,Parla,Feature phone,switch,Ruble,153,344,0.0
2025-05-10,Qtek,Microsoft Windows Mobile 2003 SE PocketPC,diners-club-us-ca,Euro,133,497,1.0
2025-10-15,Nokia,"Symbian 9.4, Series 60 rel. 5",americanexpress,Rupiah,117,852,0.0
2025-03-13,Nokia,"Android 9.0, up to Android 11, Android One",visa-electron,Ruble,216,592,1.0
2025-06-09,verykool,Feature phone,jcb,Baht,118,230,0.0
2025-12-07,T-Mobile,Feature phone,china-unionpay,Dollar,174,880,1.0
2025-11-06,ZTE,Android 4.1,china-unionpay,Peso,101,732,0.0
2025-06-12,Motorola,Android 4.4.2,switch,Rupiah,235,584,1.0
2025-11-02,ZTE,Android 4.1.2,diners-club-carte-blanche,Euro,191,361,0.0
2025-05-13,Sony,"Symbian, UIQ",bankcard,Real,147,841,0.0
2025-04-10,alcatel,Feature phone,maestro,Rupiah,109,565,0.0
2025-09-19,Motorola,"Android 4.0.4, up to 4.4.2",jcb,Yuan Renminbi,124,454,1.0
2025-10-14,Asus,Microsoft Windows Mobile 5.0 PocketPC,jcb,Yuan Renminbi,116,457,1.0
2025-12-12,Samsung,Feature phone,switch,Yuan Renminbi,153,331,1.0
2025-02-01,Plum,Feature phone,jcb,Dram,180,518,1.0
2025-07-30,Samsung,"Android 8.0, up to Android 9.0",jcb,Hryvnia,159,640,1.0
2025-03-09,Samsung,Feature phone,jcb,Euro,240,887,0.0
2025-10-26,alcatel,Feature phone,diners-club-enroute,Yuan Renminbi,122,786,1.0
2025-11-26,Oppo,Android 4.0.4,switch,Krona,206,240,0.0
2025-03-19,BLU,Android 4.2,switch,Sol,199,865,1.0
2025-07-15,Samsung,Feature phone,jcb,Dirham,37,360,1.0
2025-11-26,Nokia,Feature phone,jcb,Hryvnia,100,607,0.0
2025-12-04,LG,Feature phone,switch,Koruna,76,554,0.0
2025-12-22,Samsung,Feature phone,switch,Rupiah,39,535,0.0
2025-11-03,Lenovo,Android 5.0,jcb,Riels,33,227,1.0
2025-10-24,Huawei,"Android 4.1, EMUI 1.5",mastercard,Rupiah,181,743,0.0
2025-10-22,Spice,Android 2.2,diners-club-enroute,Zloty,95,253,0.0
2025-09-27,Motorola,Feature phone,visa-electron,Ringgit,52,267,1.0
2025-12-10,Plum,Feature phone,americanexpress,Real,215,576,0.0
2025-09-10,Xiaomi,Android 10,jcb,Peso,51,496,1.0
2025-09-28,Honor,"Android 10, Magic UI 3.1",jcb,Dong,84,869,1.0
2025-12-21,Prestigio,Android 4.1,jcb,Real,173,724,0.0
2025-05-25,Samsung,Feature phone,switch,Manat,47,493,0.0
2025-02-12,Micromax,Feature phone,jcb,Rupiah,64,620,0.0
2025-11-22,Acer,Android 4.2,diners-club-enroute,Yuan Renminbi,197,643,0.0
2025-12-05,Plum,Feature phone,jcb,Peso,118,875,0.0
2025-05-03,Samsung,Android 6.0.1,switch,Yuan Renminbi,98,383,1.0
2025-03-22,Motorola,Feature phone,americanexpress,Euro,39,848,0.0
2025-02-07,LG,Feature phone,maestro,Koruna,104,207,1.0
2025-11-25,Pantech,"Android 2.3.5, up to 4.0",mastercard,Dinar,196,341,0.0
2025-04-19,Lava,Android 5.1,mastercard,Yuan Renminbi,46,804,0.0
2025-09-01,Micromax,Android 2.3,visa-electron,Real,211,821,0.0
2025-05-21,HTC,Microsoft Windows Phone 8,jcb,Bolivar,129,809,1.0
2025-03-09,Allview,Android 5.1,switch,Zloty,133,422,0.0
2025-05-29,Xiaomi,"Android 8.1, planned upgrade to 10, MIUI 12",jcb,Euro,226,367,0.0
2025-11-09,Amoi,Feature phone,solo,Dirham,238,285,1.0
2025-01-30,Huawei,"Android 4.4.2, EMUI 2.3",jcb,Hryvnia,131,487,0.0
2025-10-29,Nokia,Feature phone,visa,Yuan Renminbi,98,646,0.0
2025-09-23,Oppo,"Android 9.0, up to Android 11, ColorOS 11",mastercard,Kuna,209,338,0.0
2025-06-29,Motorola,Feature phone,switch,Yuan Renminbi,13,645,0.0
2025-05-09,Samsung,"Android 4.3, up to 4.4.2, up to 5.0",china-unionpay,Euro,111,557,0.0
2025-05-10,alcatel,Android 4.2,maestro,Ruble,231,715,0.0
2025-09-07,Asus,Android 4.4,jcb,Tenge,17,295,0.0
2025-02-25,HTC,"Android 2.3, up to 4.0, Sense UI 3",switch,Euro,29,648,1.0
2025-09-07,LG,Feature phone,maestro,Real,30,758,0.0
2025-03-21,Nokia,Feature phone,jcb,Yuan Renminbi,246,263,0.0
2025-12-19,Panasonic,Feature phone,china-unionpay,Lek,111,871,0.0
2025-06-19,Samsung,Android 7.0,americanexpress,Peso,57,768,1.0
2025-08-30,Motorola,Linux / Java-based MOTOMAGX,instapayment,Rupiah,179,456,0.0
2025-04-06,HP,Android 4.2.2,maestro,Dollar,223,347,0.0
2025-10-17,Allview,Android 7.0,jcb,Franc,138,716,0.0
2025-04-16,ZTE,Android 6.0,jcb,Kuna,189,661,0.0
2025-05-23,QMobile,Feature phone,jcb,Euro,74,434,0.0
2025-10-25,Motorola,Android 10,jcb,Dong,76,894,0.0
2025-06-26,Energizer,KaiOS,jcb,Krona,71,676,1.0
2025-06-22,alcatel,Firefox OS 1.0,laser,Peso,212,372,0.0
2025-02-01,Sony,"Android 4.3, up to 5.1",switch,Ruble,233,434,0.0
2025-02-05,HP,Android 4.4.2,instapayment,Euro,174,316,0.0
2025-11-04,Haier,Feature phone,mastercard,Rupiah,125,439,0.0
2025-03-10,Modu,Feature phone,jcb,Yuan Renminbi,84,318,0.0
2025-09-15,Oppo,"Android 11, ColorOS 11.2",jcb,Peso,67,830,0.0
2025-04-11,Micromax,Feature phone,bankcard,Cordoba,157,292,1.0
2025-08-05,T-Mobile,Android 2.3.4,diners-club-enroute,Peso,228,263,1.0
2025-11-14,Samsung,Palm 5.2,diners-club-enroute,Ruble,102,794,1.0
2025-07-17,Meizu,"Android 5.1, Flyme UI",china-unionpay,Peso,26,535,0.0
2025-10-30,Huawei,"Android 8.0, EMUI 8",switch,Zloty,75,493,0.0
2025-09-08,Sendo,Feature phone,diners-club-carte-blanche,Yuan Renminbi,175,441,0.0
2025-07-30,Motorola,Linux,maestro,Peso,13,302,1.0
2025-08-06,LG,Android 9.0,mastercard,Euro,70,859,0.0
2025-06-03,Bosch,Feature phone,diners-club-enroute,Sol,103,584,1.0
2025-04-27,Realme,"Android 10, Realme UI",mastercard,Yuan Renminbi,207,832,1.0
2025-11-25,Allview,Android 4.2.2,visa,Ruble,25,258,0.0
2026-01-17,Nokia,Feature phone,jcb,Peso,190,347,0.0
2025-04-21,Allview,Android 4.4.2,switch,Rupiah,133,679,0.0
2026-01-13,YU,Android 7.0,diners-club-carte-blanche,Pound,71,426,0.0
2026-01-05,Infinix,Android 6.0,jcb,Euro,184,321,0.0
2026-01-01,Emporia,Feature phone,jcb,Rupiah,144,706,1.0
2025-08-04,Micromax,Android 5.1,jcb,Yuan Renminbi,183,334,0.0
2025-04-11,Samsung,Feature phone,americanexpress,Yen,123,733,0.0
